dates,volume,high,market-cap,close,open,low
20151119,45011100.0,335.33,4971880000.0,326.15,334.68,325.27
20151118,43783800.0,336.53,4969330000.0,334.59,334.59,330.64
20161031,97064400.0,709.29,11207200000.0,700.97,702.64,691.68
20161030,100665000.0,714.12,11388800000.0,701.86,714.12,696.48
20150822,23205900.0,234.96,3379050000.0,230.39,232.66,222.7
20151111,107070000.0,340.58,5037510000.0,311.08,339.82,301.0
20151110,95797900.0,381.39,5631520000.0,336.82,379.98,329.11
20151113,52003000.0,340.91,5020700000.0,336.75,338.5,326.07
20151112,78477800.0,345.08,4657240000.0,338.15,314.08,313.36
20151115,44213100.0,334.66,4942420000.0,320.17,333.05,317.49
20151114,38612000.0,338.18,4994250000.0,332.91,336.62,329.97
20151117,51001600.0,338.35,4905260000.0,335.09,330.36,329.61
20151116,47980100.0,331.63,4746070000.0,330.75,319.74,315.9
20140122,18453700.0,870.15,10661400000.0,845.59,867.21,837.36
20140123,15607100.0,851.57,10398000000.0,822.04,845.46,819.32
20140120,27652700.0,886.39,10704800000.0,870.2,871.39,853.87
20140121,18997300.0,881.2,10687700000.0,863.91,869.65,855.93
20140126,32224300.0,897.02,10510400000.0,885.28,853.68,844.86
20140127,49233600.0,893.0,10894400000.0,771.39,884.6,757.11
20140124,34912000.0,822.43,10118400000.0,797.07,822.43,783.58
20140125,24303900.0,861.45,9799920000.0,853.61,796.24,792.96
20140128,44875500.0,832.5,9535950000.0,812.51,774.02,766.98
20140129,17984400.0,836.87,9981850000.0,826.0,809.96,809.85
20150122,33544600.0,237.02,3125520000.0,233.41,227.32,226.43
20150823,18406600.0,232.71,3346760000.0,228.17,230.38,225.58
20151209,90917200.0,423.12,6189620000.0,417.56,414.44,406.29
20151208,57801400.0,415.56,5908810000.0,415.56,395.75,389.95
20151205,66282200.0,389.79,5426180000.0,388.95,363.72,363.23
20151204,35784100.0,363.52,5388110000.0,363.18,361.26,355.76
20151207,63455800.0,399.97,5821140000.0,395.54,389.98,385.41
20151206,77762000.0,402.81,5813290000.0,388.78,389.56,387.09
20151201,60452200.0,378.93,5624580000.0,362.49,377.41,356.56
20151203,50714900.0,370.27,5358040000.0,361.05,359.33,357.41
20151202,54160500.0,362.23,5394070000.0,359.19,361.85,349.46
20140630,46422400.0,645.15,7812050000.0,639.8,602.62,599.88
20140418,19042400.0,498.6,6276700000.0,479.64,495.8,472.74
20140419,19588200.0,503.56,6073340000.0,501.56,479.58,470.56
20140416,56480100.0,542.38,6606460000.0,527.39,522.18,502.78
20140417,34025500.0,533.52,6695650000.0,495.96,529.07,484.87
20140414,50730200.0,469.75,5244350000.0,458.79,414.83,407.37
20140415,49561000.0,519.0,5797070000.0,515.59,458.37,453.54
20140412,19226500.0,439.61,5317310000.0,421.12,420.89,415.79
20140413,22493500.0,427.4,5326230000.0,414.06,421.46,395.25
20140410,55868300.0,443.37,5583670000.0,365.18,442.26,358.73
20140411,62562800.0,429.77,4593400000.0,420.95,363.71,351.27
20140708,10005500.0,626.7,8088590000.0,624.82,622.57,620.91
20140709,9819150.0,627.0,8125370000.0,624.51,625.22,622.6
20140702,25768200.0,656.68,8314310000.0,650.88,641.04,638.34
20140703,18949000.0,650.77,8442770000.0,645.16,650.77,641.3
20140701,38446300.0,657.86,8316770000.0,640.81,641.39,640.11
20140706,10080000.0,638.65,8203530000.0,635.81,631.77,631.16
20140707,17813600.0,637.16,8253710000.0,624.09,635.46,617.01
20140704,22237200.0,648.43,8365570000.0,630.69,644.65,629.4
20140705,9105940.0,633.22,8177490000.0,631.46,629.95,628.0
20150401,22877200.0,247.54,3420100000.0,247.27,244.22,241.16
20150402,26272600.0,254.46,3461060000.0,253.0,247.09,245.42
20150403,23146600.0,256.04,3545940000.0,254.32,253.07,251.88
20150404,12493500.0,255.26,3563920000.0,253.7,254.29,251.1
20150405,19649200.0,260.68,3557460000.0,260.6,253.76,251.94
20150406,20034200.0,261.8,3655990000.0,255.49,260.72,254.57
20150407,18467400.0,255.81,3580410000.0,253.18,255.27,252.21
20150408,30086400.0,253.85,3550390000.0,245.02,253.06,244.22
20150409,21643500.0,246.12,3434520000.0,243.68,244.75,239.4
20160920,72710900.0,609.52,9673140000.0,608.31,609.25,607.94
20160921,82776200.0,603.59,9584260000.0,597.15,603.59,595.88
20160922,67085300.0,598.49,9485280000.0,596.3,597.28,596.21
20160923,51067000.0,603.21,9469130000.0,602.84,596.2,595.79
20160924,35359500.0,604.58,9577520000.0,602.63,602.96,602.04
